SNOMEDCT_ID	SNOMEDCT_NAME	ICD10CM_ID	ICD10CM_NAME	MESH_ID
109515000	Congenital retrognathism	M26.19	Other specified anomalies of jaw-cranial base relationship	D063173
109603007	Chronic apical abscess	K04.7	Periapical abscess without sinus	D010482
109628004	Gingival pocket	K05.5	Other periodontal diseases	D005888
109629007	Periodontal pocket	K05.5	Other periodontal diseases	D010514
109671008	Complete dislocation of tooth	S03.2XX?	Dislocation of tooth, episode of care unspecified	D014084
109706009	Alveolar bone loss	K06.3	Horizontal alveolar bone loss	D016301
109706009	Alveolar bone loss	K08.20	Unspecified atrophy of edentulous alveolar ridge	D016301
109706009	Alveolar bone loss	M26.79	Other specified alveolar anomalies	D016301
109828002	Primary malignant neoplasm of salivary gland duct	C08.9	Malignant neoplasm of major salivary gland, unspecified	D012468
109888004	Lobular carcinoma in situ of breast	D05.02	Lobular carcinoma in situ of left breast	D000071960
109888004	Lobular carcinoma in situ of breast	D05.00	Lobular carcinoma in situ of unspecified breast	D000071960
109888004	Lobular carcinoma in situ of breast	D05.01	Lobular carcinoma in situ of right breast	D000071960
109889007	Intraductal carcinoma in situ of breast	D05.12	Intraductal carcinoma in situ of left breast	D002285
109889007	Intraductal carcinoma in situ of breast	D05.11	Intraductal carcinoma in situ of right breast	D002285
109889007	Intraductal carcinoma in situ of breast	D05.10	Intraductal carcinoma in situ of unspecified breast	D002285
109889007	Intraductal carcinoma in situ of breast	D05.11	Intraductal carcinoma in situ of right breast	D002285
109904003	Acquired meningocele	T81.89X?	Other complications of procedures, not elsewhere classified, episode of care unspecified	D008588
109904003	Acquired meningocele	G96.19	Other disorders of meninges, not elsewhere classified	D008588
109904003	Acquired meningocele	G96.19	Other disorders of meninges, not elsewhere classified	D008588
109907005	Acquired anomaly of ear	H61.119	Acquired deformity of pinna, unspecified ear	D004426
109907005	Acquired anomaly of ear	H61.899	Other specified disorders of external ear, unspecified ear	D004426
109907005	Acquired anomaly of ear	M95.10	Cauliflower ear, unspecified ear	D004426
109907005	Acquired anomaly of ear	H61.90	Disorder of external ear, unspecified, unspecified ear	D004426
109915008	Primary malignant neoplasm of meninges	C70.0	Malignant neoplasm of cerebral meninges	D008577
109915008	Primary malignant neoplasm of meninges	C70.1	Malignant neoplasm of spinal meninges	D008577
109915008	Primary malignant neoplasm of meninges	C70.0	Malignant neoplasm of cerebral meninges	D008577
109964000	Diffuse non-Hodgkin's lymphoma, undifferentiated	C85.80	Other specified types of non-Hodgkin lymphoma, unspecified site	D008228
109966003	Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)	C85.80	Other specified types of non-Hodgkin lymphoma, unspecified site	D016400
109966003	Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)	C83.30	Diffuse large B-cell lymphoma, unspecified site	D016400
109969005	Diffuse non-Hodgkin's lymphoma, large cell (clinical)	C83.30	Diffuse large B-cell lymphoma, unspecified site	D016403
109971005	Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell (clinical)	C82.80	Other types of follicular lymphoma, unspecified site	D008224
109977009	Peripheral T-cell lymphoma (clinical)	C84.40	Peripheral T-cell lymphoma, not classified, unspecified site	D016411
109978004	T-cell lymphoma (clinical)	C84.40	Peripheral T-cell lymphoma, not classified, unspecified site	D016399
109979007	B-cell lymphoma (clinical)	C85.10	Unspecified B-cell lymphoma, unspecified site	D016393
109992005	Polycythemia vera (clinical)	D75.0	Familial erythrocytosis	D011087
109992005	Polycythemia vera (clinical)	D75.0	Familial erythrocytosis	D011086
110004001	Acute promyelocytic leukemia, FAB M3	C92.41	Acute promyelocytic leukemia, in remission	D015473
110005000	Acute myelomonocytic leukemia, FAB M4	C92.51	Acute myelomonocytic leukemia, in remission	D015479
110006004	Prolymphocytic leukemia (clinical)	C91.Z0	Other lymphoid leukemia not having achieved remission	D015463
110030002	Concussion injury of brain	S06.0X0?	Concussion without loss of consciousness, episode of care unspecified	D001924
110265006	Postoperative hemorrhage	T81.89X?	Other complications of procedures, not elsewhere classified, episode of care unspecified	D019106
110271000	Disease due to Circoviridae	B33.8	Other specified viral diseases	D018173
1108009	Female pattern alopecia	L64.8	Other androgenic alopecia	D000505
11092001	Sinus tachycardia	P29.11	Neonatal tachycardia	D013616
110985001	Multiple fibrofolliculomas	D23.9	Other benign neoplasm of skin, unspecified	D058249
111200005	Nodular elastosis with cysts and comedones	L57.8	Other skin changes due to chronic exposure to nonionizing radiation	D005148
111200005	Nodular elastosis with cysts and comedones	X32.XXXS	Exposure to sunlight, sequela	D005148
111209006	Photoallergic dermatitis	L56.1	Drug photoallergic response	D017454
111209006	Photoallergic dermatitis	L56.2	Photocontact dermatitis [berloque dermatitis]	D017454
111227009	Ankylosis of joint	M24.60	Ankylosis, unspecified joint	D000844
111245009	Compartment syndrome	T79.A0X?	Compartment syndrome, unspecified, episode of care unspecified	D003161
111247001	Volkmann's contracture	T79.6XX?	Traumatic ischemia of muscle, episode of care unspecified	D054061
111248006	Diastasis of muscle	M62.08	Separation of muscle (nontraumatic), other site	D000070630
111248006	Diastasis of muscle	M62.00	Separation of muscle (nontraumatic), unspecified site	D000070630
111255008	Avascular necrosis of the capital femoral epiphysis	M87.859	Other osteonecrosis, unspecified femur	D007873
111287006	Tricuspid valve regurgitation	I07.1	Rheumatic tricuspid insufficiency	D014262
111318005	Congenital cystic adenomatoid malformation of lung	Q33.0	Congenital cystic lung	D015615
111331000	Congenital dilatation of lobar intrahepatic bile duct	Q44.5	Other congenital malformations of bile ducts	D016767
111332007	Male pseudohermaphroditism	Q54.8	Other hypospadias	D058490
111359004	Diverticulitis of colon	K57.20	Diverticulitis of large intestine with perforation and abscess without bleeding	D004239
111359004	Diverticulitis of colon	K57.32	Diverticulitis of large intestine without perforation or abscess without bleeding	D004239
111395007	Nephrogenic diabetes insipidus	T50.905?	Adverse effect of unspecified drugs, medicaments and biological substances, episode of care unspecified	D018500
111395007	Nephrogenic diabetes insipidus	G93.89	Other specified disorders of brain	D018500
111407006	Hemolytic uremic syndrome	D58.8	Other specified hereditary hemolytic anemias	D006463
111407006	Hemolytic uremic syndrome	P78.3	Noninfective neonatal diarrhea	D006463
111407006	Hemolytic uremic syndrome	P78.3	Noninfective neonatal diarrhea	D006463
111407006	Hemolytic uremic syndrome	P78.3	Noninfective neonatal diarrhea	D006463
111407006	Hemolytic uremic syndrome	P78.3	Noninfective neonatal diarrhea	D006463
111409009	Ulcerative cystitis	N30.10	Interstitial cystitis (chronic) without hematuria	D018856
111496009	Syringomyelia	G95.0	Syringomyelia and syringobulbia	D013595
111513000	Advanced open-angle glaucoma	H40.10X0	Unspecified open-angle glaucoma, stage unspecified	D005902
111514006	Pseudoexfoliation glaucoma	H40.1490	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, stage unspecified	D017889
111522004	Arcus senilis	H18.419	Arcus senilis, unspecified eye	D001112
111533001	Vertical nystagmus	H55.09	Other forms of nystagmus	D009759
111541001	Benign paroxysmal positional vertigo	H81.10	Benign paroxysmal vertigo, unspecified ear	D065635
111558006	Insulin coma	E15	Nondiabetic hypoglycemic coma	D007331
111567006	Refetoff syndrome	E07.89	Other specified disorders of thyroid	D018382
111568001	Hypothalamic syndrome	E23.3	Hypothalamic dysfunction, not elsewhere classified	D007027
111817006	Infection by Shigella	A03.1	Shigellosis due to Shigella flexneri	D004405
111817006	Infection by Shigella	A03.2	Shigellosis due to Shigella boydii	D004405
111817006	Infection by Shigella	A03.0	Shigellosis due to Shigella dysenteriae	D004405
111817006	Infection by Shigella	A03.3	Shigellosis due to Shigella sonnei	D004405
111817006	Infection by Shigella	A03.2	Shigellosis due to Shigella boydii	D004405
111852003	Vaccinia	T88.1XX?	Other complications following immunization, not elsewhere classified, episode of care unspecified	D014615
111852003	Vaccinia	H16.8	Other keratitis	D014615
111865007	Disease due to Flavivirus	B33.8	Other specified viral diseases	D018177
11193009	Metallic taste	R43.8	Other disturbances of smell and taste	D013651
111939009	Dysentery	A09	Infectious gastroenteritis and colitis, unspecified	D004403
111982005	Thickened nails	R23.8	Other skin changes	D009264
111982005	Thickened nails	L60.2	Onychogryphosis	D009264
112081003	Sadistic torture	R45.6	Violent behavior	D012448
112102006	Atypical neuralgia	M79.2	Neuralgia and neuritis, unspecified	D009437
112103001	Stump neuralgia	M79.609	Pain in unspecified limb	D009437
112107000	Primary bitter taste disorder	R43.8	Other disturbances of smell and taste	D013651
112108005	Pill rolling	G25.2	Other specified forms of tremor	D014202
112109002	Senile tremor	G25.2	Other specified forms of tremor	D014202
11282001	Homocystinuria	E72.12	Methylenetetrahydrofolate reductase deficiency	D006712
11282001	Homocystinuria	E71.120	Methylmalonic acidemia	D006712
11296007	Stenosis of trachea	J95.03	Malfunction of tracheostomy stoma	D014135
11296007	Stenosis of trachea	Q32.1	Other congenital malformations of trachea	D014135
11296007	Stenosis of trachea	Q31.8	Other congenital malformations of larynx	D014135
11296007	Stenosis of trachea	J39.8	Other specified diseases of upper respiratory tract	D014135
11296007	Stenosis of trachea	Q32.1	Other congenital malformations of trachea	D014135
11296007	Stenosis of trachea	Q32.3	Congenital stenosis of bronchus	D014135
11381005	Acne	L70.4	Infantile acne	D000152
1140008	Thermal hypesthesia	R20.8	Other disturbances of skin sensation	D006987
1140008	Thermal hypesthesia	R20.1	Hypoesthesia of skin	D006987
1140008	Thermal hypesthesia	R20.1	Hypoesthesia of skin	D006987
11441004	Prostatism	N40.0	Benign prostatic hyperplasia without lower urinary tract symptoms	D053448
11442006	Hereditary sensory neuropathy	H91.90	Unspecified hearing loss, unspecified ear	D009477
11442006	Hereditary sensory neuropathy	K57.10	Diverticulosis of small intestine without perforation or abscess without bleeding	D009477
11442006	Hereditary sensory neuropathy	N07.9	Hereditary nephropathy, not elsewhere classified with unspecified morphologic lesions	D009477
11455007	Lipoidosis	E75.248	Other Niemann-Pick disease	D008064
11530004	Brittle diabetes mellitus	E11.9	Type 2 diabetes mellitus without complications	D003922
11530004	Brittle diabetes mellitus	E10.9	Type 1 diabetes mellitus without complications	D003922
11543004	Otosclerosis	H80.20	Cochlear otosclerosis, unspecified ear	D010040
11543004	Otosclerosis	H80.20	Cochlear otosclerosis, unspecified ear	D010040
11543004	Otosclerosis	H80.10	Otosclerosis involving oval window, obliterative, unspecified ear	D010040
11543004	Otosclerosis	H80.00	Otosclerosis involving oval window, nonobliterative, unspecified ear	D010040
11543004	Otosclerosis	H80.20	Cochlear otosclerosis, unspecified ear	D010040
115664001	Photoallergy	L59.8	Other specified disorders of the skin and subcutaneous tissue related to radiation	D017454
116371000119107	Ganglioneuroma	D23.9	Other benign neoplasm of skin, unspecified	D005729
116371000119107	Ganglioneuroma	D15.2	Benign neoplasm of mediastinum	D005729
116371000119107	Ganglioneuroma	D36.15	Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen	D005729
116371000119107	Ganglioneuroma	D36.10	Benign neoplasm of peripheral nerves and autonomic nervous system, unspecified	D005729
116381000119105	Ganglioneuroblastoma	C72.9	Malignant neoplasm of central nervous system, unspecified	D018305
116381000119105	Ganglioneuroblastoma	C47.9	Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified	D018305
11687002	Gestational diabetes mellitus	O24.429	Gestational diabetes mellitus in childbirth, unspecified control	D016640
11687002	Gestational diabetes mellitus	O24.439	Gestational diabetes mellitus in the puerperium, unspecified control	D016640
11687002	Gestational diabetes mellitus	O24.414	Gestational diabetes mellitus in pregnancy, insulin controlled	D016640
11687002	Gestational diabetes mellitus	O24.410	Gestational diabetes mellitus in pregnancy, diet controlled	D016640
11687002	Gestational diabetes mellitus	O24.419	Gestational diabetes mellitus in pregnancy, unspecified control	D016640
11763009	Placenta increta	O43.229	Placenta increta, unspecified trimester	D010921
117631000119103	Pneumatosis coli	K63.89	Other specified diseases of intestine	D011006
117891000119100	Simple partial seizure	G40.109	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus	D004828
11806006	Separation anxiety disorder of childhood	F93.0	Separation anxiety disorder of childhood	D001010
118599009	Hodgkin's disease (clinical)	C81.90	Hodgkin lymphoma, unspecified, unspecified site	D006689
118600007	Malignant lymphoma (clinical)	C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site	D008223
118601006	Non-Hodgkin's lymphoma (clinical)	C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site	D008228
118602004	Hodgkin's granuloma (clinical)	C81.90	Hodgkin lymphoma, unspecified, unspecified site	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.02	Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.06	Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.08	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.43	Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.04	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.01	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.75	Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.07	Nodular lymphocyte predominant Hodgkin lymphoma, spleen	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.09	Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites	D006689
118605002	Hodgkin lymphoma, nodular lymphocyte predominance (clinical)	C81.00	Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site	D006689
118606001	Hodgkin's sarcoma (clinical)	C81.90	Hodgkin lymphoma, unspecified, unspecified site	D006689
118607005	Lymphocyte-rich classical Hodgkin lymphoma	C81.40	Lymphocyte-rich Hodgkin lymphoma, unspecified site	D006689
118609008	Hodgkin's disease, mixed cellularity (clinical)	C81.20	Mixed cellularity Hodgkin lymphoma, unspecified site	D006689
118610003	Hodgkin's disease, lymphocytic depletion (clinical)	C81.30	Lymphocyte depleted Hodgkin lymphoma, unspecified site	D006689
118615008	Malignant mast cell tumor (clinical)	C96.20	Malignant mast cell neoplasm, unspecified	D012515
118938008	Disease of mouth	K13.70	Unspecified lesions of oral mucosa	D009059
119247004	Hypoalbuminemia	E88.09	Other disorders of plasma-protein metabolism, not elsewhere classified	D034141
119249001	Agammaglobulinemia	D80.0	Hereditary hypogammaglobulinemia	D000361
119292006	Disorder of gastrointestinal tract	P78.9	Perinatal digestive system disorder, unspecified	D005767
119419001	Cyanosis of skin	P28.2	Cyanotic attacks of newborn	D003490
11999007	Inactive tuberculosis	A15.9	Respiratory tuberculosis unspecified	D055985
120639003	Hantavirus pulmonary syndrome	B33.4	Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]	D018804
12067001	Acquired coxa vara	M21.859	Other specified acquired deformities of unspecified thigh	D060905
1212005	Childhood type dermatomyositis	M33.01	Juvenile dermatomyositis with respiratory involvement	D003882
1212005	Childhood type dermatomyositis	M33.00	Juvenile dermatomyositis, organ involvement unspecified	D003882
12188008	Parainfluenza	B34.8	Other viral infections of unspecified site	D018184
122003	Choroidal hemorrhage	H31.319	Expulsive choroidal hemorrhage, unspecified eye	D002832
122449004	Pneumoretroperitoneum	K68.9	Other disorders of retroperitoneum	D012188
122480009	Hallux valgus	Q66.6	Other congenital valgus deformities of feet	D006215
122480009	Hallux valgus	Q14.1	Congenital malformation of retina	D006215
122480009	Hallux valgus	M20.11	Hallux valgus (acquired), right foot	D006215
122480009	Hallux valgus	M20.12	Hallux valgus (acquired), left foot	D006215
122480009	Hallux valgus	M20.12	Hallux valgus (acquired), left foot	D006215
122480009	Hallux valgus	M20.10	Hallux valgus (acquired), unspecified foot	D006215
122480009	Hallux valgus	M20.10	Hallux valgus (acquired), unspecified foot	D006215
122480009	Hallux valgus	M20.11	Hallux valgus (acquired), right foot	D006215
122480009	Hallux valgus	Q66.6	Other congenital valgus deformities of feet	D006215
122481008	Hammer toe	M20.41	Other hammer toe(s) (acquired), right foot	D037801
122481008	Hammer toe	M20.42	Other hammer toe(s) (acquired), left foot	D037801
122481008	Hammer toe	Q66.80	Congenital vertical talus deformity, unspecified foot	D037801
122481008	Hammer toe	M20.42	Other hammer toe(s) (acquired), left foot	D037801
122481008	Hammer toe	M20.40	Other hammer toe(s) (acquired), unspecified foot	D037801
122481008	Hammer toe	M20.41	Other hammer toe(s) (acquired), right foot	D037801
12351004	Crowding of teeth	M26.39	Other anomalies of tooth position of fully erupted tooth or teeth	D008310
12351004	Crowding of teeth	M26.39	Other anomalies of tooth position of fully erupted tooth or teeth	D008310
12351004	Crowding of teeth	M26.31	Crowding of fully erupted teeth	D008310
12351004	Crowding of teeth	M26.31	Crowding of fully erupted teeth	D008310
12351004	Crowding of teeth	M26.31	Crowding of fully erupted teeth	D008310
12351004	Crowding of teeth	M26.31	Crowding of fully erupted teeth	D008310
12351004	Crowding of teeth	M26.31	Crowding of fully erupted teeth	D008310
123841004	Neoplasm of uterine cervix	D49.59	Neoplasm of unspecified behavior of other genitourinary organ	D002583
123843001	Neoplasm of ovary	D49.59	Neoplasm of unspecified behavior of other genitourinary organ	D010051
123844007	Neoplasm of endometrium	D49.59	Neoplasm of unspecified behavior of other genitourinary organ	D016889
12391000132109	Invasive fungal infection	J32.9	Chronic sinusitis, unspecified	D000072742
12391000132109	Invasive fungal infection	B44.89	Other forms of aspergillosis	D000072742
12391000132109	Invasive fungal infection	B44.89	Other forms of aspergillosis	D000072742
123952009	Disorder of nasopharynx	J39.9	Disease of upper respiratory tract, unspecified	D009302
123971006	Colles' fracture	S52.539?	Colles' fracture of unspecified radius, episode of care unspecified	D003100
123971006	Colles' fracture	S51.809?	Unspecified open wound of unspecified forearm, episode of care unspecified	D003100
123973009	Monteggia's fracture	S52.279?	Monteggia's fracture of unspecified ulna, episode of care unspecified	D009011
123973009	Monteggia's fracture	S51.809?	Unspecified open wound of unspecified forearm, episode of care unspecified	D009011
123975002	Trimalleolar fracture	S82.853?	Displaced trimalleolar fracture of unspecified lower leg, episode of care unspecified	D064386
123975002	Trimalleolar fracture	S81.809?	Unspecified open wound, unspecified lower leg, episode of care unspecified	D064386
124202004	Deficiency of catalase	E80.3	Defects of catalase and peroxidase	D020642
124208000	Deficiency of tryptophan 2,3-dioxygenase	E70.5	Disorders of tryptophan metabolism	D006250
124267007	Deficiency of 1,4-alpha-glucan branching enzyme	E88.89	Other specified metabolic disorders	D006011
124287008	Deficiency of tyrosine aminotransferase	E88.89	Other specified metabolic disorders	D020176
124327008	Deficiency of mevalonate kinase	E88.89	Other specified metabolic disorders	D054078
124536006	Deficiency of fumarylacetoacetase	E88.89	Other specified metabolic disorders	D020176
12456005	Iatrogenic disorder	T88.9XX?	Complication of surgical and medical care, unspecified, episode of care unspecified	D007049
125574005	Angiolymphoid hyperplasia with eosinophilia	D18.01	Hemangioma of skin and subcutaneous tissue	D006391
125593007	Injury of face	S09.93X?	Unspecified injury of face, episode of care unspecified	D005151
125594001	Injury of shoulder region	S49.90X?	Unspecified injury of shoulder and upper arm, unspecified arm, episode of care unspecified	D000070599
125597008	Injury of forearm	S59.919?	Unspecified injury of unspecified forearm, episode of care unspecified	D005543
125598003	Injury of wrist	S69.90X?	Unspecified injury of unspecified wrist, hand and finger(s), episode of care unspecified	D014954
125599006	Injury of hand	S69.90X?	Unspecified injury of unspecified wrist, hand and finger(s), episode of care unspecified	D006230
125600009	Injury of hip region	S79.919?	Unspecified injury of unspecified hip, episode of care unspecified	D025981
125601008	Injury of knee	S89.90X?	Unspecified injury of unspecified lower leg, episode of care unspecified	D007718
125603006	Injury of ankle	S99.919?	Unspecified injury of unspecified ankle, episode of care unspecified	D016512
125604000	Injury of foot	S99.929?	Unspecified injury of unspecified foot, episode of care unspecified	D018409
125605004	Fracture of bone	T14.8XX?	Other injury of unspecified body region, episode of care unspecified	D050723
125615005	Traumatic dislocation of shoulder region	S43.006?	Unspecified dislocation of unspecified shoulder joint, episode of care unspecified	D012783
125665001	Crushing injury	T14.8XX?	Other injury of unspecified body region, episode of care unspecified	D000071576
125667009	Contusion	T14.8XX?	Other injury of unspecified body region, episode of care unspecified	D003288
12579009	Familial Mediterranean fever	I32	Pericarditis in diseases classified elsewhere	D010505
126488004	Neoplasm of skin	D49.2	Neoplasm of unspecified behavior of bone, soft tissue, and skin	D012878
126490003	Neoplasm of sweat gland	D23.9	Other benign neoplasm of skin, unspecified	D013544
126490003	Neoplasm of sweat gland	D04.9	Carcinoma in situ of skin, unspecified	D013544
126490003	Neoplasm of sweat gland	C44.90	Unspecified malignant neoplasm of skin, unspecified	D013544
126490003	Neoplasm of sweat gland	C79.2	Secondary malignant neoplasm of skin	D013544
126490003	Neoplasm of sweat gland	D48.5	Neoplasm of uncertain behavior of skin	D013544
126490003	Neoplasm of sweat gland	D23.10	Other benign neoplasm of skin of unspecified eyelid, including canthus	D013544
126490003	Neoplasm of sweat gland	D49.2	Neoplasm of unspecified behavior of bone, soft tissue, and skin	D013544
126491004	Tumor of skin with sebaceous differentiation	D49.2	Neoplasm of unspecified behavior of bone, soft tissue, and skin	D012626
126537000	Neoplasm of bone	D49.2	Neoplasm of unspecified behavior of bone, soft tissue, and skin	D001859
